,fsq_id,categories,chains,distance,link,name,timezone,geocodes.main.latitude,geocodes.main.longitude,location.address,location.country,location.cross_street,location.formatted_address,location.locality,location.postcode,location.region,location.neighborhood,geocodes.roof.latitude,geocodes.roof.longitude,location.address_extended
10,4df902f9ae608a367ceb8cdf,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}]",[],6137,/v3/places/4df902f9ae608a367ceb8cdf,Sinhgad Girls Hostel,Asia/Kolkata,18.469502,73.833872,,IN,,"Pune 931735, Mahārāshtra",Pune,931735,Mahārāshtra,,18.469502,73.833872,
11,55c386fd498e9530bf858fe8,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]",[],7249,/v3/places/55c386fd498e9530bf858fe8,Arirang Guest House,Asia/Kolkata,18.563546,73.908341,Behind Ye Basa Dhaba,IN,,"Behind Ye Basa Dhaba, Pune 411014, Mahārāshtra",Pune,411014,Mahārāshtra,['Viman Nagar'],18.563546,73.908341,
12,4f8216cbe4b009278091a12d,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}]",[],7705,/v3/places/4f8216cbe4b009278091a12d,Sinhgad vadgaon,Asia/Kolkata,18.46301,73.815347,Near To Sinhgad College,IN,Vadgaon bk.,"Near To Sinhgad College (Vadgaon bk.), Pune 411041, Mahārāshtra",Pune,411041,Mahārāshtra,,18.46301,73.815347,
13,4cd929daa423a35dba44ef42,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}]",[],8030,/v3/places/4cd929daa423a35dba44ef42,Mhada hostel,Asia/Kolkata,18.572831,73.908862,Viman,IN,,"Viman, Pune 931735, Mahārāshtra",Pune,931735,Mahārāshtra,,18.572831,73.908862,
14,506c8ef3e4b0d6ce1c724c1f,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}]",[],9196,/v3/places/506c8ef3e4b0d6ce1c724c1f,Zoya classic boy's hostel,Asia/Kolkata,18.445133,73.892681,Zoya Classic Boy's Hostel,IN,Kondhwa-saswad Road,"Zoya Classic Boy's Hostel (Kondhwa-saswad Road), Pune 411048",Pune,411048,,,18.445133,73.892681,Near Sinhgad Academy Of Engineering
15,4ddaa9bdc65bee535afebd00,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}, {'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]",[],50459,/v3/places/4ddaa9bdc65bee535afebd00,Shivneri,Asia/Kolkata,18.729913,73.431649,,IN,,"Mahabaleshwar 424101, Maharashtra",Mahabaleshwar,424101,Maharashtra,,18.729913,73.431649,
16,5c60706bcabcff002c3878a1,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]",[],65305,/v3/places/5c60706bcabcff002c3878a1,Zostel,Asia/Kolkata,17.933805,73.81589,"Main Road Panchgani - Wai, Dandeghar",IN,,"Main Road Panchgani - Wai, Dandeghar, Pānchgani 412805, Mahārāshtra",Pānchgani,412805,Mahārāshtra,['Dhandeghar'],,,
17,4ba20368f964a52052d637e3,"[{'id': 12098, 'name': 'Spiritual Center', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/religious_', 'suffix': '.png'}}]",[],1626,/v3/places/4ba20368f964a52052d637e3,YMCA,Asia/Kolkata,18.51756,73.871788,"Nana Peth, Quarter Gate",IN,,"Nana Peth, Quarter Gate, Pune 411011, Mahārāshtra",Pune,411011,Mahārāshtra,,18.51756,73.871788,
18,4e38e535e4cd799aaeebc2d9,"[{'id': 11130, 'name': 'Office Building', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",[],2431,/v3/places/4e38e535e4cd799aaeebc2d9,Firodiya Hostel,Asia/Kolkata,18.520456,73.833582,Agarkar Road,IN,,"Agarkar Road, Pune 411004, Mahārāshtra",Pune,411004,Mahārāshtra,,18.520456,73.833582,
19,29705752e5dc420752de0b1d,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}, {'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]",[],1043,/v3/places/29705752e5dc420752de0b1d,Avanti Kalagram,,18.515268,73.864995,"237 Shukrawar Peth, Shinde Building",IN,,"237 Shukrawar Peth, Shinde Building, Pune 411002, Maharashtra",Pune,411002,Maharashtra,['Narayan Peth'],18.515268,73.864995,
